标志,ID,立绘,内容,跳转,效果（赋值给角色的状态，当要flag检定时，会将角色的状态赋值到跳转中）,flag检定,姓名
#,0,Player_Idle_0,今天的便当做的是青椒肉丝，王婶送了我们些包子，今晚你回来一起吃,1,,0,主角
#,1,Player_Idle_2,感觉她看着你的神情带着担心,2,,0,主角
#,2,Player_Idle_0,（开心地蹦蹦跳跳）可以吃肉包子了！爸爸你今晚早点回来呀！,3,,0,主角
#,3,Player_Idle_2,好的！我今晚肯定早些回来。,4,,0,主角
#,4,Player_Idle_2,你抱了抱女儿和妻子，接过便当,5,,0,主角
&,5,,还是走吧,8,10,,主角
&,6,,有话要说,8,11,,主角
&,7,,忘记了什么呢,8,13,,主角
#,8,Player_Idle_2,还是上班去吧,9,,0,主角
#,9,Player_Idle_0,再不上班要迟到了,10,,1,主角
#,10,Player_Idle_2,就这样吧,14,,0,主角
#,11,Player_Idle_0,这件事昨天是不是发生了,12,,0,主角
#,12,Player_Idle_2,阿，应该是我多虑了,14,,0,主角
#,13,Player_Idle_0,我要说什么来着,14,,0,主角
END,14,Player_Idle_0,对话结束,5,,0,主角
