标志,ID,立绘,内容,跳转,效果（赋值给角色的状态，当要flag检定时，会将角色的状态赋值到跳转中）,flag检定,姓名
#,0,NULL,你准备回家，路上的灯逐渐暗下去，只有药店亮着惨白色的灯光。,1,,0,旁白
#,1,NULL,药店的收银台那里，老板正在和买药的人交流，老板看起来神情有些苦恼，要听听他们在说什么吗？,2,,0,旁白
&,2,,听听他们的交流吧。,3,,,
#,3,药店老板,最近矿洞到底发生什么了，怎么来买药的人越来越多了，特别是止咳的药，这得吸了多少粉尘... ...上城区的人什么时候才能意识到下城区的人命也是命啊。,4,,0,药店老板
#,4,买药的人,嘘，谨言慎行！这被警卫队听到了大家都会被抓起来！,5,,0,买药的人
#,5,药店老板,知道了知道了，我这不是为大家打抱不平吗... ...喏，你要的止咳药。,6,,0,药店老板
#,6,买药的人,（接过药）谢了啊，咳咳... ...咳...,7,,0,买药的人
#,7,药店老板,... ...换一份其他的工作吧，这份工作在下城区虽算得上工资可观的，但是危险性实在太高了，工作的时候要小心失足，还容易惹上一身病。,8,,0,药店老板
#,8,买药的人,戴上口罩，没有说话）,9,,0,买药的人
#,9,主角,（你眼尖地注意到口罩上有还没有完全干涸的黑色血迹）,10,,0,主角
#,10,药店老板,... ...算了算了，你快回去吃药吧，早日康复啊。,11,,0,药店老板
#,11,买药的人,（小声嘀咕）可能，等不到康复的那一天了... ...,12,,0,买药的人
#,12,药店老板,啊？你嘀咕啥呢？,13,,0,药店老板
#,13,买药的人,没啥，这些年真是多亏你的照顾了，下次不知道什么时候能再见了。你……一定要保重呀。,14,,0,买药的人
#,14,药店老板,突然说这干嘛，整得像交代后事一样，赶紧回家去吧！,15,,0,药店老板
#,15,主角,你想起那个新的病的症状也是不断咳嗽，药店老板可能还以为是普通的类尘肺病症状，这位买药的人估计是感觉到了身体状况已经不太对了吧... ...,16,,0,主角
#,16,主角,周围各种奇怪的事情仿佛都在暗示你着什么，你觉得自己可能也难逃一劫... ...,17,,0,主角
END,17,,,,3,,
