标志,ID,立绘,内容,跳转,效果（赋值给角色的状态，当要flag检定时，会将角色的状态赋值到跳转中）,flag检定,姓名
#,0,NULL,你正走在回家的路上，途中路过了娱乐室所在的街道，娱乐室老板娘对你招了招手让你过去。,1,,0,老板娘
#,1,NULL,你对她有些模糊的印象，记忆里她和妻子的关系好像还挺好的，所以你照做了，往娱乐室走去,2,,0,老板娘
#,2,主角,有什么事吗？,3,,0,主角
#,3,老板娘,最近还好吗，我从你妻子那里得知了你的事情。,4,,0,老板娘
#,4,老板娘,你们矿洞里那个病闹得很大呀，那天那个人炸开的时候你也在现场吧？,5,,0,老板娘
#,5,NULL,你不确定她对此的态度，谨慎地没有接话,6,,0,旁白
#,6,主角,... ...,7,,0,主角
#,7,老板娘,不用对我这么防备。你也知道下城区的人想要生存，能选择的职业无非就那么几种，而大部分家庭中的男人都会选择矿工。,8,,0,老板娘
#,8,老板娘,而如今闹出这种病，矿工的生命就这样被无情夺走，而原因却只是上城区的人想节约成本而提出了这种冒险的捷径！,9,,0,老板娘
#,9,NULL,你能感觉到她的情绪越来越激动。,10,,0,旁白
#,10,NULL,……气氛有些尴尬,11,,0,旁白
#,11,NULL,她平复了一下，又接着说到,12,,0,旁白
#,12,老板娘,但我不希望我们最后的结局都是以生命为代价去服务上城区的人，最后还不知道何时会有水晶从体内爆开。,13,,0,老板娘
#,13,老板娘,我想你的妻子和女儿也不愿意看到你变成这样。,14,,0,老板娘
#,14,主角,你大概猜出了她的立场与意图，心里隐约觉得有些不妙,15,,0,主角
#,15,主角,你的意思是...？,16,,0,主角
#,16,NULL,你感觉到老板娘突然严肃了起来，悄悄地靠近了你,17,,0,旁白
#,17,老板娘,（压低声音）那我就直说了。你想加入反抗军吗？,18,,0,老板娘
#,18,老板娘,反抗军的消息已经在下城区传开了。我们想要为自己的家人，或者全下城区的后人争取更人道更公平的待遇。我们的生命不应该这样被对待。,19,,0,老板娘
#,19,老板娘,那么你呢？你想和我们一起吗？,20,,1,老板娘
&,20,,我要加入你们,22,35,,
&,21,,不... ...我还是算了吧,36,36,,
#,22,NULL,答应她，这或许是突破循环的关键，你愈发动摇了。,23,,0,旁白
#,23,NULL,你越想越觉得不对，心里那种强烈的不安几乎要把自己淹没了。,24,,0,旁白
#,24,NULL,你想老板娘说的大概是对的。这件事你没办法永远置身事外，它总会找上你的，时间只是早晚的问题。对！没错！你应该加入，所以你同意了。,25,,0,旁白
#,25,老板娘,明天会有专门的人过来和你对接，（递过纸条）这是暗号，请阅后立刻销毁。这个联络器可以收到我们的联络。,26,,0,老板娘
#,26,老板娘,愿我们能为下城区带来自由。,27,,0,老板娘
#,27,NULL,你不知道这是否是一个正确的决定，但落子无悔,28,,0,旁白
END,28,,,,29,,
